time,phase,grasp_lock_active,contact_force_n,inserted_depth_m,peg_x_m,peg_y_m,peg_z_m,peg_hole_xy_error_m,q1_rad,q2_rad,q3_rad,q4_rad,q5_m,q6_rad,q3_abs_rad,q4_abs_rad,q6_turns,q_tracking_error,q_tracking_error_without_q6,q34_tracking_error,q6_tracking_error_rad,q6_speed_rad_s,ctrl_joint1,ctrl_joint2,ctrl_joint3,ctrl_joint4,ctrl_joint5,ctrl_joint6
6.313999999999527,Archimedean spiral search using joint1/joint2 only,1,23.26625995105766,1.1062582829998724e-05,-0.3520904966577867,-0.6427653411961213,0.13498893741717,0.024868646729639402,-0.036600187606570946,0.15142777281616754,0.003621071708743172,0.0003915762224808511,0.1088834191516461,-0.0003479772287302419,0.003621071708743172,0.0003915762224808511,-5.53822960358371e-05,0.0037712157125714095,0.003755127134869165,0.003642182348245701,0.0003479772287302419,-0.0009817352425175877,-1.8005011144318217,1.0163949383360378,-11.40823469744692,-0.12373819797837278,-30.162334890120924,0.021612104624973316
6.315999999999526,Archimedean spiral search using joint1/joint2 only,1,23.257534672071518,1.4838720974089115e-05,-0.3521001434934703,-0.6427435271188651,0.1349851612790259,0.024849831874644755,-0.03654820698951132,0.15139084261248922,0.0036219747657187354,0.0003923248615462179,0.10888787672737661,-0.0003500477731940434,0.0036219747657187354,0.0003923248615462179,-5.571183342214266e-05,0.00378835780375054,0.003772150766567994,0.0036431607157097184,0.0003500477731940434,-0.001035272231900736,-1.8183821504877038,1.013323119730423,-11.527942946604249,-0.12097402933645407,-30.59239577717981,0.024943679396575547
6.317999999999526,Archimedean spiral search using joint1/joint2 only,1,23.254604304264742,1.7917193604929937e-05,-0.3521098517965045,-0.6427218254464316,0.13498208280639507,0.024831024549293354,-0.03649652099641464,0.15135424721572857,0.0036249949430548537,0.0003931587298613247,0.1088906012180381,-0.0003520065264969849,0.0036249949430548537,0.0003931587298613247,-5.602357869260338e-05,0.0038079585184513445,0.0037916539245492443,0.0036462531623626237,0.0003520065264969849,-0.0009793766514707514,-1.8374649093008515,1.0116900068076735,-11.650679704145997,-0.11986313885110801,-30.992087471750335,0.026167139850981097
6.319999999999526,Archimedean spiral search using joint1/joint2 only,1,23.25717707550457,1.9857931743569313e-05,-0.3521195331271147,-0.6427001032515917,0.13498014206825643,0.02481223985603349,-0.03644509877234106,0.15131792752218337,0.0036294915478662804,0.00039401173615734737,0.10889140493388064,-0.0003539473486965598,0.0036294915478662804,0.00039401173615734737,-5.6332470139328213e-05,0.0038294639900526236,0.003813071691623492,0.0036508155450888633,0.0003539473486965598,-0.0009704110997874647,-1.8563576555933585,1.011359085976869,-11.755118633345242,-0.12191875669673598,-31.300883606742318,0.023741323140512666
6.321999999999526,Archimedean spiral search using joint1/joint2 only,1,23.25439588910193,1.956321778241732e-05,-0.35212891375105343,-0.6426764195447533,0.13498043678221758,0.024792805147743093,-0.0363939130606667,0.15128184045244542,0.0036347908900241635,0.0003949303614644524,0.10889017529274073,-0.00035583047744601357,0.0036347908900241635,0.0003949303614644524,-5.663217938828224e-05,0.003852417376165473,0.0038359489453722146,0.003656183092325806,0.00035583047744601357,-0.0009415643747268744,-1.8737957229069044,1.012108737338373,-11.827325719016235,-0.12136220911128108,-31.441168130401273,0.023016193022877246
6.323999999999526,Archimedean spiral search using joint1/joint2 only,1,23.267335201522013,1.7920741891927494e-05,-0.3521389375933955,-0.6426550857807075,0.13498207925810807,0.02477391923174667,-0.036344171338557836,0.15124816042843567,0.003645509072988775,0.00039561652770792044,0.10888495791284779,-0.00035602415214633967,0.003645509072988775,0.00039561652770792044,-5.666300367419098e-05,0.0036851141052840876,0.003667875784708667,0.0036669127121107137,0.00035602415214633967,-9.683735016305242e-05,-1.7714457688036673,1.5834431501310386,-11.890445814726899,-0.20294355756240307,-32.440199103020404,0.06365525824368512
6.325999999999525,Archimedean spiral search using joint1/joint2 only,1,23.282002859937677,1.4918458419763136e-05,-0.3521506721466721,-0.6426335533364826,0.13498508154158023,0.024753437960715597,-0.036305283253710505,0.15123256251744352,0.0036512590355370542,0.0003995875555859752,0.10887894423155586,-0.0003498472206308999,0.0036512590355370542,0.0003995875555859752,-5.567991449036863e-05,0.003700131418405899,0.0036835552711600903,0.003673059046512886,0.0003498472206308999,0.0030884657577198685,-2.9788489018999313,5.146616038769172,-12.477055010800834,-0.42806079816532655,-31.944060017952456,0.19158423494724255
6.327999999999525,Archimedean spiral search using joint1/joint2 only,1,23.297751948179865,1.020826682297804e-05,-0.35216808968660895,-0.6426200825178485,0.13498979173317702,0.024731733171242953,-0.03629212351377234,0.15125917099885405,0.0036570360729731295,0.0004091810807901859,0.10887174357077145,-0.00033364493017791773,0.0036570360729731295,0.0004091810807901859,-5.3101239875365893e-05,0.003750320629843499,0.003735449890869413,0.0036798562466356416,0.00033364493017791773,0.008101145226491096,-4.776561938359282,10.581153154525756,-12.806118935729609,-0.9279126581523894,-31.428992379883603,0.32102477437921345
6.329999999999525,Archimedean spiral search using joint1/joint2 only,1,23.322869067079548,5.165728090603117e-06,-0.35219632836387743,-0.642620643956536,0.1349948342719094,0.024707073132615914,-0.03632063550741575,0.15135362061445404,0.003662747520246058,0.00042580332851983264,0.10886414877312224,-0.0003065735536176631,0.003662747520246058,0.00042580332851983264,-4.8792696479499294e-05,0.0038865262903549414,0.0038744159897773473,0.0036874147951711663,0.0003065735536176631,0.013535688280127332,-6.772404190737551,16.49198740917489,-13.393691352150185,-1.5601130736232474,-30.79952265424129,0.3999157235077046
6.331999999999525,Archimedean spiral search using joint1/joint2 only,1,23.36214070078355,7.829109313489679e-07,-0.35224094035709286,-0.6426437230004597,0.13499921708906865,0.024678593190354755,-0.036404601838071246,0.15153749732149221,0.0036700866739843223,0.0004490464525007969,0.10885653333194827,-0.0002703064387909493,0.0036700866739843223,0.0004490464525007969,-4.302060588314643e-05,0.004164782106259445,0.004156001013205725,0.0036974557348345436,0.0002703064387909493,0.01813355741335687,-8.643021822424435,21.514596939934496,-13.915501622275693,-2.2206546727679277,-30.18599487061358,0.42253356990131635
